EVENT_UNIQUE_ID,OCC_YEAR,OCC_MONTH,OCC_TIME_RANGE,DIVISION
GO-2004133803,2004,January,Night,D31
GO-2004120070,2004,January,Night,D54
GO-2004135509,2004,January,Night,D14
GO-2004126451,2004,January,Afternoon,D41
GO-2004139160,2004,January,Evening,D42
GO-2004136310,2004,January,Evening,D42
GO-2004125755,2004,January,Morning,D42
GO-2004136086,2004,January,Afternoon,D42
GO-2004147495,2004,January,Evening,D42
GO-2004147139,2004,January,Evening,D32
GO-2004149554,2004,January,Evening,D42
GO-2004150454,2004,January,Morning,D54
GO-2004149400,2004,January,Night,D42
GO-2004153438,2004,January,Night,D42
GO-2004153036,2004,January,Evening,D42
GO-2004156017,2004,January,Afternoon,D41
GO-2004153417,2004,January,Night,D31
GO-2004148619,2004,January,Night,D42
GO-2004148623,2004,January,Night,D13
GO-2004157000,2004,January,Night,D42
GO-2004170771,2004,January,Evening,D32
GO-2004187244,2004,February,Night,D41
GO-2004172092,2004,February,Night,D13
GO-2004195761,2004,February,Morning,D53
GO-2004194940,2004,February,Evening,D42
GO-2004218803,2004,March,Night,D42
GO-2004218585,2004,March,Night,D42
GO-2004200779,2004,March,Night,D41
GO-2004224089,2004,March,Night,D23
GO-2004233515,2004,March,Evening,D42
GO-2004237217,2004,March,Evening,D31
GO-2004232446,2004,March,Night,D41
GO-2004213938,2004,March,Night,D33
GO-2004235315,2004,March,Evening,D23
GO-2004232800,2004,March,Evening,D31
GO-2004239294,2004,March,Evening,D41
GO-2004239286,2004,March,Night,D13
GO-2004252448,2004,March,Afternoon,D31
GO-2004268947,2004,March,Night,D41
GO-2004251775,2004,March,Morning,D42
GO-2004255020,2004,March,Morning,D41
GO-2004255502,2004,March,Afternoon,D31
GO-2004259451,2004,April,Evening,D23
GO-2004263733,2004,April,Evening,D42
GO-2004262735,2004,April,Evening,D42
GO-2004303360,2004,April,Night,D52
GO-2004303455,2004,April,Evening,D42
GO-2004250857,2004,April,Evening,D23
GO-2004304903,2004,April,Evening,D42
GO-2004764704,2004,April,Evening,D14
GO-2004310859,2004,April,Night,D31
GO-2004295496,2004,April,Night,D52
GO-2004314373,2004,April,Night,D14
GO-2004315641,2004,April,Morning,D31
GO-2004348492,2004,April,Night,D52
GO-2004341984,2004,April,Afternoon,D42
GO-2004239848,2004,April,Night,D32
GO-2004339280,2004,April,Evening,D42
GO-2004333885,2004,April,Evening,D42
GO-2004390743,2004,April,Night,D12
GO-2004350484,2004,May,Evening,D23
GO-2004417251,2004,May,Evening,D54
GO-2004301868,2004,May,Night,D54
GO-2004388577,2004,May,Night,D31
GO-2004387646,2004,May,Afternoon,D31
GO-2004354521,2004,May,Evening,D14
GO-2004392487,2004,May,Afternoon,D31
GO-2004591388,2004,May,Night,D12
GO-2004311851,2004,May,Afternoon,D31
GO-2004397105,2004,May,Night,D41
GO-2004394774,2004,May,Evening,D22
GO-2004387719,2004,May,Afternoon,D52
GO-2004406517,2004,May,Night,D12
GO-2004408691,2004,May,Night,D23
GO-2004408131,2004,May,Night,D14
GO-2004374867,2004,May,Evening,D51
GO-2004308782,2004,May,Evening,D31
GO-2004409444,2004,May,Night,D23
GO-2004414391,2004,May,Evening,D23
GO-2004423639,2004,May,Afternoon,D12
GO-2004482932,2004,May,Night,D51
GO-2004437150,2004,May,Afternoon,D12
GO-2004421259,2004,May,Evening,D23
GO-2004455760,2004,May,Evening,D51
GO-2004413914,2004,May,Afternoon,D22
GO-2004455137,2004,June,Night,D14
GO-2004484856,2004,June,Afternoon,D14
GO-20041053840,2004,June,Evening,D12
GO-2004457239,2004,June,Evening,D43
GO-2004487997,2004,June,Evening,D42
GO-2004510279,2004,June,Night,D23
GO-2004515049,2004,June,Afternoon,D43
GO-2004525248,2004,June,Evening,D52
GO-2004518544,2004,June,Night,D31
GO-2004521591,2004,June,Evening,D14
GO-2004511158,2004,June,Afternoon,D22
GO-2004513214,2004,June,Evening,D51
GO-2004513218,2004,June,Afternoon,D22
GO-2004650414,2004,June,Afternoon,D22
GO-2004505020,2004,June,Night,D42
GO-2004510813,2004,June,Afternoon,D31
GO-2004536122,2004,June,Night,D42
GO-2004564223,2004,July,Night,D31
GO-2004598521,2004,July,Night,D42
GO-2004574277,2004,July,Night,D22
GO-2004499572,2004,July,Night,D31
GO-2004515430,2004,July,Night,D13
GO-2004577384,2004,July,Morning,D14
GO-2004432295,2004,July,Afternoon,D11
GO-2004602734,2004,July,Afternoon,D31
GO-2004592201,2004,July,Night,D33
GO-2004594159,2004,July,Night,D51
GO-2004600109,2004,July,Evening,D23
GO-2004612791,2004,July,Evening,D23
GO-2004556110,2004,July,Evening,D31
GO-2004607150,2004,August,Morning,D42
GO-2004608027,2004,August,Evening,D12
GO-2004717029,2004,August,Evening,D23
GO-2004629200,2004,August,Night,D31
GO-2004629203,2004,August,Evening,D22
GO-2004630187,2004,August,Night,D31
GO-2004637474,2004,August,Morning,D52
GO-2004974875,2004,August,Night,D52
GO-2004637632,2004,August,Evening,D43
GO-2004702788,2004,August,Evening,D14
GO-2004637844,2004,August,Evening,D23
GO-2004642018,2004,August,Evening,D31
GO-2004641880,2004,August,Night,D12
GO-2004642019,2004,August,Evening,D31
GO-2004640940,2004,August,Evening,D42
GO-2004597291,2004,August,Night,D31
GO-2004637869,2004,August,Night,D54
GO-2004592255,2004,August,Evening,D43
GO-2004642752,2004,August,Night,D41
GO-2004647837,2004,September,Evening,D13
GO-2004599316,2004,September,Night,D31
GO-2004591518,2004,September,Afternoon,D51
GO-2004642110,2004,September,Night,D23
GO-2004645696,2004,September,Evening,D31
GO-2004641371,2004,September,Night,D23
GO-2004646393,2004,September,Afternoon,D23
GO-2004654954,2004,September,Evening,D43
GO-2004649788,2004,September,Afternoon,D51
GO-2004654953,2004,September,Night,D51
GO-2004658110,2004,September,Evening,D42
GO-2004663715,2004,September,Night,D22
GO-2004658416,2004,September,Evening,D51
GO-2004650681,2004,September,Night,D23
GO-2004668846,2004,September,Night,D55
GO-2004669350,2004,September,Night,D31
GO-2004676605,2004,September,Morning,D51
GO-2004497549,2004,September,Evening,D42
GO-2004676793,2004,October,Night,D12
GO-2004685734,2004,October,Evening,D33
GO-2004683174,2004,October,Afternoon,D31
GO-20041036512,2004,October,Night,D43
GO-2004687286,2004,October,Night,D14
GO-2004480388,2004,October,Evening,D23
GO-2004684041,2004,October,Evening,D13
GO-2004692390,2004,October,Night,D14
GO-2004619258,2004,October,Evening,D33
GO-2004439509,2004,October,Night,D31
GO-2004695551,2004,October,Night,D12
GO-2004676368,2004,November,Morning,D32
GO-2004707339,2004,November,Evening,D13
GO-2004704991,2004,November,Morning,D31
GO-2004704992,2004,November,Evening,D42
GO-2004491397,2004,November,Afternoon,D42
GO-2004691183,2004,November,Night,D31
GO-2004710040,2004,November,Evening,D22
GO-2004696934,2004,November,Afternoon,D23
GO-2004715205,2004,November,Night,D23
GO-2004431138,2004,November,Evening,D12
GO-2004696937,2004,November,Night,D23
GO-2004741422,2004,November,Night,D14
GO-2004734100,2004,November,Afternoon,D31
GO-2004734427,2004,November,Night,D42
GO-2004790656,2004,December,Evening,D51
GO-2004732104,2004,December,Night,D33
GO-2004756919,2004,December,Night,D13
GO-2004768032,2004,December,Afternoon,D42
GO-2004773793,2004,December,Evening,D42
GO-2004736004,2004,December,Night,D51
GO-2004811677,2004,December,Afternoon,D41
GO-2004730003,2004,December,Evening,D54
GO-2004750027,2004,December,Evening,D31
GO-2004823002,2004,December,Night,D42
GO-2004861470,2004,December,Evening,D32
GO-2004773806,2004,December,Afternoon,D42
GO-2004710035,2004,December,Night,D42
GO-2004774602,2004,December,Evening,D11
GO-2005860182,2005,January,Night,D12
GO-2005776512,2005,January,Evening,D33
GO-2005736236,2005,January,Evening,D41
GO-2005999284,2005,January,Night,D52
GO-2005773453,2005,January,Night,D52
GO-2005774710,2005,January,Evening,D53
GO-2005866828,2005,January,Night,D43
GO-20051443627,2005,January,Evening,D22
GO-2005920738,2005,January,Evening,D14
GO-2005774900,2005,January,Night,D31
GO-2005772582,2005,January,Evening,D31
GO-2005873262,2005,January,Night,D42
GO-2005883036,2005,January,Evening,D22
GO-2005896053,2005,January,Evening,D33
GO-2005919556,2005,January,Night,D12
GO-2005732268,2005,February,Evening,D31
GO-20051064463,2005,February,Night,D41
GO-2005901779,2005,February,Evening,D43
GO-2005928264,2005,February,Evening,D32
GO-2005832576,2005,February,Evening,D51
GO-2005951634,2005,February,Afternoon,D33
GO-2005901792,2005,February,Night,D42
GO-2005736672,2005,February,Night,D23
GO-2005787630,2005,February,Evening,D14
GO-2005955160,2005,February,Night,D23
GO-2005918414,2005,February,Evening,D51
GO-2005768554,2005,February,Night,D41
GO-2005955718,2005,February,Night,D52
GO-2005943518,2005,February,Night,D55
